"Luzern","NEUTRAL","2948"
"Switzerland","POSITIVE","2338"
"Uster","POSITIVE","9"
"Winterthur","POSITIVE","70"
"Meilen","NEUTRAL","10"
"Saanen","NEUTRAL","97"
"Baden","NEUTRAL","1151"
"Svajcarska","NEUTRAL","16"
"Waldenburg","NEUTRAL","641"
"Schleitheim","NEUTRAL","1"
"Willisau","NEUTRAL","22"
"Frauenfeld","NEUTRAL","464"
"スイス","NEUTRAL","17"
"Biel","POSITIVE","4"
"Lausanne","NEUTRAL","455"
"Sarnen","POSITIVE","3"
"Buchs","NEUTRAL","17"
"Zurigo","POSITIVE","1"
"Swiss","NEUTRAL","1528"
"Thun","NEUTRAL","394"
"Bülach","POSITIVE","14"
"Arbon","NEUTRAL","19"
"Stans","NEUTRAL","69"
"Kreuzlingen","NEUTRAL","21"
"Schwyz","NEUTRAL","58"
"Sankt Gallen","NEUTRAL","461"
"Chur","NEUTRAL","1093"
"Brig","POSITIVE","5"
"Altdorf","POSITIVE","1"
"Suhr","NEUTRAL","2"
"Schweiz","POSITIVE","2310"
"Switzerland","NEGATIVE","140"
"Romanshorn","NEUTRAL","32"
"Winterthur","NEGATIVE","3"
"Aigle","NEUTRAL","1"
"Geneva","NEUTRAL","204"
"Helvetia","POSITIVE","1"
"Solothurn","NEGATIVE","1"
"Zürich","POSITIVE","1249"
"Laufen","POSITIVE","3"
"Schmerikon","NEUTRAL","7"
"St. Gallen","POSITIVE","269"
"Delémont","NEUTRAL","5"
"Suiza","NEUTRAL","12"
"Brugg","NEUTRAL","54"
"Interlaken","NEUTRAL","522"
"Bremgarten","NEUTRAL","75"
"Hinwil","NEUTRAL","3"
"Biel/Bienne","POSITIVE","13"
"Zuerich","NEUTRAL","396"
"Fribourg","POSITIVE","12"
"CH","POSITIVE","136"
"Olten","NEUTRAL","556"
"Schweiz","NEGATIVE","71"
"Zofingen","NEUTRAL","135"
"Liestal","NEUTRAL","357"
"Suisse","POSITIVE","16"
"Sissach","POSITIVE","1"
"Monthey","NEUTRAL","1"
"Glarus","NEUTRAL","41"
"Lucerne","NEUTRAL","558"
"Einsiedeln","POSITIVE","4"
"Altdorf","NEUTRAL","116"
"Svizzera","NEUTRAL","8"
"Rheinfelden","POSITIVE","3"
"Aarau","POSITIVE","82"
"Zermatt","POSITIVE","1"
"Affoltern am Albis","NEUTRAL","4"
"Laufenburg","NEUTRAL","12"
"Laufen","NEGATIVE","1"
"Luzern","POSITIVE","64"
"Dielsdorf","NEUTRAL","7"
"St. Gallen","NEGATIVE","11"
"Svizra","NEUTRAL","8"
"Pfäffikon","NEUTRAL","3"
"Baden","POSITIVE","34"
"Lenzburg","NEUTRAL","707"
"Zürich","NEUTRAL","38908"
"Svajcarska","POSITIVE","2"
"Frutigen","NEUTRAL","21"
"Waldenburg","POSITIVE","10"
"Frauenfeld","POSITIVE","5"
"スイス","POSITIVE","6"
"Suïssa","NEUTRAL","1"
"Schüpfheim","NEUTRAL","1"
"Appenzell","NEUTRAL","28"
"Lausanne","POSITIVE","7"
"Fribourg","NEGATIVE","1"
"CH","NEGATIVE","14"
"Swiss","POSITIVE","5"
"Thun","POSITIVE","54"
"Basel","NEUTRAL","12343"
"Marly","NEUTRAL","3"
"Samedan","NEUTRAL","1"
"Suisse","NEGATIVE","2"
"Weinfelden","NEUTRAL","47"
"Visp","NEUTRAL","117"
"Bellinzona","NEUTRAL","59"
"Flüelen","NEUTRAL","3"
"Kreuzlingen","POSITIVE","3"
"Aarau","NEGATIVE","8"
"Sankt Gallen","POSITIVE","17"
"Chur","POSITIVE","52"
"Bulle","NEUTRAL","3"
"Luzern","NEGATIVE","3"
"Suhr","POSITIVE","1"
"Leuk","NEUTRAL","2"
"Bern","NEUTRAL","12985"
"Zurich","NEUTRAL","6756"
"Geneva","POSITIVE","5"
"Baden","NEGATIVE","1"
"Herisau","NEUTRAL","156"
"Solothurn","POSITIVE","19"
"Confoederatio Helvetica","NEUTRAL","12"
"Schmerikon","POSITIVE","1"
"Schenkon","NEUTRAL","370"
"Basilea","NEUTRAL","3"
"Berna","NEUTRAL","4"
"Scuol","NEUTRAL","3"
"Thun","NEGATIVE","1"
"Interlaken","POSITIVE","1"
"Münchwilen","NEUTRAL","2"
"Bremgarten","POSITIVE","1"
"Zuerich","POSITIVE","35"
"Olten","POSITIVE","23"
"Chur","NEGATIVE","2"
"Suíça","NEUTRAL","35"
"Zwitserland","NEUTRAL","8"
"Wangen an der Aare","NEUTRAL","3"
"Liestal","POSITIVE","3"
"Zofingen","POSITIVE","5"
"Hochdorf","NEUTRAL","9"
"Steckborn","NEUTRAL","4"
"Glarus","POSITIVE","5"
"Lucerne","POSITIVE","3"
"Amden","NEUTRAL","3"
"Uster","NEUTRAL","194"
"Switzerland","NEUTRAL","44030"
"Winterthur","NEUTRAL","1805"
"Sursee","NEUTRAL","57"
"Laufenburg","POSITIVE","4"
"Wengen","NEUTRAL","9"
"Neuchâtel","POSITIVE","6"
"Solothurn","NEUTRAL","561"
"Lenzburg","POSITIVE","15"
"Andelfingen","NEUTRAL","1"
"Biel","NEUTRAL","183"
"Sarnen","NEUTRAL","90"
"Arth","NEUTRAL","1"
"Zurigo","NEUTRAL","139"
"Schüpfheim","POSITIVE","1"
"Appenzell","POSITIVE","1"
"Lugano","NEUTRAL","35"
"Zuerich","NEGATIVE","2"
"Genf","NEUTRAL","39"
"Bad Zurzach","NEUTRAL","23"
"Bülach","NEUTRAL","268"
"Gersau","NEUTRAL","1"
"Arlesheim","NEUTRAL","9"
"Schaffhausen","POSITIVE","77"
"Basel","POSITIVE","432"
"Horgen","NEUTRAL","4"
"Weinfelden","POSITIVE","2"
"Brig","NEUTRAL","744"
"Schweiz","NEUTRAL","39992"
"Neuchâtel","NEGATIVE","1"
"Bern","POSITIVE","423"
"Zurich","POSITIVE","1050"
"Zürich","NEGATIVE","64"
"Herisau","POSITIVE","22"
"Lenzburg","NEGATIVE","1"
"Gränichen","NEUTRAL","2"
"Genève","NEUTRAL","84"
"Laufen","NEUTRAL","36"
"Neuchâtel","NEUTRAL","161"
"瑞士","NEUTRAL","1"
"St. Gallen","NEUTRAL","1731"
"Wittnau","NEUTRAL","4"
"Confoederatio Helvetica","POSITIVE","1"
"Schenkon","POSITIVE","4"
"Geneve","NEUTRAL","6"
"Basel","NEGATIVE","12"
"Schaffhausen","NEGATIVE","1"
"Biel/Bienne","NEUTRAL","187"
"Fribourg","NEUTRAL","1011"
"Poschiavo","NEUTRAL","2"
"Münchwilen","POSITIVE","1"
"CH","NEUTRAL","2693"
"Schaffhausen","NEUTRAL","2351"
"Suisse","NEUTRAL","551"
"Sissach","NEUTRAL","2"
"Einsiedeln","NEUTRAL","59"
"Romanshorn","POSITIVE","1"
"Rheinfelden","NEUTRAL","102"
"Bern","NEGATIVE","7"
"Zurich","NEGATIVE","11"
"İsviçre","NEUTRAL","4"
"Aarau","NEUTRAL","968"
"Zermatt","NEUTRAL","69"
"Lauterbrunnen","NEUTRAL","1"
