Luzern,NEUTRAL,279
Uster,POSITIVE,16
Switzerland,POSITIVE,53815
Winterthur,POSITIVE,152
Porrentruy,NEUTRAL,2
Confoederatio Helvetica,NEGATIVE,17
Baden,NEUTRAL,163
Saanen,NEUTRAL,4
Wengen,POSITIVE,1
Meilen,NEUTRAL,1
Svajcarska,NEUTRAL,137
Basilea,NEGATIVE,1
Schenkon,NEGATIVE,1
Waldenburg,NEUTRAL,6
Frauenfeld,NEUTRAL,33
Berna,NEGATIVE,5
Willisau,NEUTRAL,6
スイス,NEUTRAL,39
Biel,POSITIVE,204
Lausanne,NEUTRAL,1596
สวิตเซอร์แลนด์,POSITIVE,7
Arth,POSITIVE,1
Zurigo,POSITIVE,9
Swiss,NEUTRAL,2493
Lugano,POSITIVE,600
Küssnacht,NEGATIVE,1
Thun,NEUTRAL,51
Bad Zurzach,POSITIVE,1
Genf,POSITIVE,11
Suíça,NEGATIVE,7
Bülach,POSITIVE,9
Arlesheim,POSITIVE,1
Horgen,POSITIVE,11
Le Locle,POSITIVE,6
Stans,NEUTRAL,25
Schwyz,NEUTRAL,8
Kreuzlingen,NEUTRAL,1
Sankt Gallen,NEUTRAL,19
Chur,NEUTRAL,38
Brig,POSITIVE,40
Altdorf,POSITIVE,3
Schweiz,POSITIVE,3258
Switzerland,NEGATIVE,23047
Uster,NEGATIVE,7
Romanshorn,NEUTRAL,4
Winterthur,NEGATIVE,88
Aigle,NEUTRAL,59
Швейцария,POSITIVE,1
Geneva,NEUTRAL,13668
Wengen,NEGATIVE,1
Langnau,NEUTRAL,1
Helvetia,POSITIVE,31
Solothurn,NEGATIVE,10
Zürich,POSITIVE,5736
Genève,POSITIVE,1003
Biel,NEGATIVE,36
Laufen,POSITIVE,2
Sarnen,NEGATIVE,1
St. Gallen,POSITIVE,143
Zurigo,NEGATIVE,8
Delémont,NEUTRAL,56
Suiza,NEUTRAL,91
Lugano,NEGATIVE,337
Genf,NEGATIVE,7
Bad Zurzach,NEGATIVE,1
Interlaken,NEUTRAL,151
Brugg,NEUTRAL,1
Geneve,POSITIVE,105
สวิตเซอร์แลนด์,NEUTRAL,6
Hinwil,NEUTRAL,4
Horgen,NEGATIVE,1
Bremgarten,NEUTRAL,1
Biel/Bienne,POSITIVE,30
Le Locle,NEGATIVE,2
Poschiavo,POSITIVE,11
Zuerich,NEUTRAL,105
Fribourg,POSITIVE,86
CH,POSITIVE,871
Apples,NEUTRAL,26
Brig,NEGATIVE,20
Olten,NEUTRAL,21
Bâle,NEUTRAL,1
Schweiz,NEGATIVE,1574
Suisse,POSITIVE,2236
Monthey,NEUTRAL,30
Liestal,NEUTRAL,11
Zofingen,NEUTRAL,1
Lucerne,NEUTRAL,238
Einsiedeln,POSITIVE,8
Sveitsi,NEUTRAL,1
Helvetia,NEGATIVE,14
Svizzera,NEUTRAL,187
Altdorf,NEUTRAL,3
Rheinfelden,POSITIVE,1
İsviçre,POSITIVE,2
Suica,NEUTRAL,1
Aarau,POSITIVE,51
Zermatt,POSITIVE,95
Affoltern am Albis,NEUTRAL,23
Genève,NEGATIVE,465
Evolène,NEUTRAL,1
Laufenburg,NEUTRAL,8
Lauterbrunnen,POSITIVE,3
Luzern,POSITIVE,203
St. Gallen,NEGATIVE,73
سويسرا,NEUTRAL,2
Baden,POSITIVE,126
Svajcarska,POSITIVE,18
Zürich,NEUTRAL,8746
Lenzburg,NEUTRAL,24
Waldenburg,POSITIVE,2
Geneve,NEGATIVE,47
Willisau,POSITIVE,10
Frauenfeld,POSITIVE,15
スイス,POSITIVE,27
Suïssa,NEUTRAL,15
Biel/Bienne,NEGATIVE,8
Schüpfheim,NEUTRAL,1
Lausanne,POSITIVE,1046
Appenzell,NEUTRAL,2
Poschiavo,NEGATIVE,7
Fribourg,NEGATIVE,89
Conthey,NEGATIVE,9
CH,NEGATIVE,427
Ginevra,NEUTRAL,6
Swiss,POSITIVE,1175
Bienne,NEUTRAL,67
Thun,POSITIVE,40
Marly,NEUTRAL,58
Basel,NEUTRAL,2389
Samedan,NEUTRAL,3
Suisse,NEGATIVE,1048
Weinfelden,NEUTRAL,2
Bellinzona,NEUTRAL,91
Einsiedeln,NEGATIVE,1
Renens,NEUTRAL,2
Aarau,NEGATIVE,16
Schwyz,POSITIVE,4
Kreuzlingen,POSITIVE,1
Zermatt,NEGATIVE,27
Sankt Gallen,POSITIVE,9
Chur,POSITIVE,35
Bulle,NEUTRAL,22
Luzern,NEGATIVE,65
Aigle,POSITIVE,67
Bern,NEUTRAL,2664
Zurich,NEUTRAL,8773
Baden,NEGATIVE,60
Geneva,POSITIVE,9116
Herisau,NEUTRAL,16
Svajcarska,NEGATIVE,1
Solothurn,POSITIVE,26
Frauenfeld,NEGATIVE,6
Willisau,NEGATIVE,2
スイス,NEGATIVE,24
Confoederatio Helvetica,NEUTRAL,33
Lausanne,NEGATIVE,473
Basilea,NEUTRAL,3
Schenkon,NEUTRAL,3
Swiss,NEGATIVE,1190
Delémont,POSITIVE,37
Berna,NEUTRAL,110
Suiza,POSITIVE,31
Thun,NEGATIVE,6
Interlaken,POSITIVE,32
Brugg,POSITIVE,2
Bremgarten,POSITIVE,3
Schwyz,NEGATIVE,6
Zuerich,POSITIVE,73
Küssnacht,NEUTRAL,11
Kreuzlingen,NEGATIVE,1
Apples,POSITIVE,7
Olten,POSITIVE,7
Sankt Gallen,NEGATIVE,3
Chur,NEGATIVE,8
Suíça,NEUTRAL,36
Zwitserland,NEUTRAL,2
Romanshorn,NEGATIVE,1
Monthey,POSITIVE,10
Liestal,POSITIVE,8
Aigle,NEGATIVE,9
Zofingen,POSITIVE,1
Steckborn,NEUTRAL,1
Lucerne,POSITIVE,92
Geneva,NEGATIVE,6329
Glarus,POSITIVE,3
Svizzera,POSITIVE,81
Amden,NEUTRAL,4
Suica,POSITIVE,2
Uster,NEUTRAL,25
Switzerland,NEUTRAL,68352
Winterthur,NEUTRAL,283
Affoltern am Albis,POSITIVE,4
Evolène,POSITIVE,1
Laufenburg,POSITIVE,5
Sursee,NEUTRAL,1
Thuy Si,POSITIVE,2
Wengen,NEUTRAL,4
Dielsdorf,POSITIVE,23
Neuchâtel,POSITIVE,78
سويسرا,POSITIVE,1
Delémont,NEGATIVE,7
Suiza,NEGATIVE,16
Solothurn,NEUTRAL,42
Pfäffikon,POSITIVE,1
Lenzburg,POSITIVE,17
Biel,NEUTRAL,193
Interlaken,NEGATIVE,28
Sarnen,NEUTRAL,3
สวิตเซอร์แลนด์,NEGATIVE,1
Arth,NEUTRAL,1
Suïssa,POSITIVE,5
Zurigo,NEUTRAL,33
Appenzell,POSITIVE,1
Zuerich,NEGATIVE,33
Lugano,NEUTRAL,1485
Apples,NEGATIVE,5
Genf,NEUTRAL,38
Olten,NEGATIVE,4
Bad Zurzach,NEUTRAL,2
Ginevra,POSITIVE,1
Bülach,NEUTRAL,5
Bienne,POSITIVE,37
Arlesheim,NEUTRAL,1
Marly,POSITIVE,52
Schaffhausen,POSITIVE,74
Basel,POSITIVE,1383
Horgen,NEUTRAL,5
Samedan,POSITIVE,1
Le Locle,NEUTRAL,7
Liestal,NEGATIVE,4
Monthey,NEGATIVE,4
Zofingen,NEGATIVE,1
Lucerne,NEGATIVE,40
Bellinzona,POSITIVE,45
Sveitsi,NEGATIVE,1
Brig,NEUTRAL,74
Svizzera,NEGATIVE,51
Altdorf,NEGATIVE,1
Suica,NEGATIVE,60
Schweiz,NEUTRAL,5727
Laufenburg,NEGATIVE,1
Bulle,POSITIVE,9
Neuchâtel,NEGATIVE,21
Helvetia,NEUTRAL,39
سويسرا,NEGATIVE,1
Bern,POSITIVE,1447
Zurich,POSITIVE,8875
Herisau,POSITIVE,28
Zürich,NEGATIVE,2096
Lenzburg,NEGATIVE,2
Genève,NEUTRAL,2260
Laufen,NEUTRAL,5
Neuchâtel,NEUTRAL,149
Suïssa,NEGATIVE,4
St. Gallen,NEUTRAL,195
Confoederatio Helvetica,POSITIVE,27
Appenzell,NEGATIVE,1
Swiss Confederation,NEUTRAL,4
Bienne,NEGATIVE,15
Lucerna,POSITIVE,2
Geneve,NEUTRAL,188
Berna,POSITIVE,11
Ennetbürgen,POSITIVE,3
Basel,NEGATIVE,807
Schaffhausen,NEGATIVE,19
Marly,NEGATIVE,4
Biel/Bienne,NEUTRAL,34
Poschiavo,NEUTRAL,26
Fribourg,NEUTRAL,329
Conthey,NEUTRAL,12
Bellinzona,NEGATIVE,38
CH,NEUTRAL,1227
Flüelen,NEGATIVE,1
Küssnacht,POSITIVE,27
Schaffhausen,NEUTRAL,86
Suisse,NEUTRAL,4105
Suíça,POSITIVE,6
Einsiedeln,NEUTRAL,10
Bulle,NEGATIVE,6
Wangen an der Aare,POSITIVE,1
Romanshorn,POSITIVE,4
Zwitserland,POSITIVE,2
Rheinfelden,NEUTRAL,25
İsviçre,NEUTRAL,34
Bern,NEGATIVE,705
Zurich,NEGATIVE,3363
Steckborn,POSITIVE,1
Aarau,NEUTRAL,104
Zermatt,NEUTRAL,104
Herisau,NEGATIVE,7
Lauterbrunnen,NEUTRAL,4
